#separator:tab
#html:false
gut	good	[ɡuːt]	Das ist ein guter Film.  (Komparativ) Deine Idee ist besser als meine.  (Superlativ) Das ist die beste Lösung.  (mit Präposition mit) Er ist gut mit Kindern.			
schlecht	bad	[ʃlɛçt]	Das Essen schmeckt schlecht.  (Komparativ) Das Wetter ist heute schlechter als gestern.  (Superlativ) Das war der schlechteste Tag meines Lebens.  (mit Präposition mit) Sie ist schlecht mit Zahlen.			
prima	excellent	['pʁiːma]	Das Wetter ist heute prima.  (mit Präposition mit) Die Zusammenarbeit ist prima mit ihm.			
super	great	['zuːpɐ]	Das Konzert war super.  (mit Präposition mit) Die Atmosphäre ist super mit dieser Musik.			
schön	beautiful	[ʃøːn]	Das ist ein schönes Haus.  (Komparativ) Dieser Park ist schöner als der andere.  (Superlativ) Das ist der schönste Ort der Welt.  (mit Präposition mit) Sie sieht schön mit dem neuen Kleid aus.			
viele	many	['fiːlə]	Viele Menschen waren da.  (Komparativ) Heute sind mehr Leute gekommen.  (Superlativ) Die meisten Gäste sind pünktlich.  (mit Präposition mit) Viele Probleme lassen sich mit Geduld lösen.			
lecker	delicious	['lɛkɐ]	Der Kuchen schmeckt lecker.  (Komparativ) Die Pizza ist leckerer als die Pasta.  (Superlativ) Das ist das leckerste Essen hier.  (mit Präposition mit) Es schmeckt besonders lecker mit der Sauce.			
neu	new	[nɔɪ]	Ich habe ein neues Auto.  (Komparativ) Dieses Modell ist neuer als das alte.  (Superlativ) Das ist der neueste Trend.  (mit Präposition mit) Es wirkt ganz neu mit der Reinigung.			
klein	small	[klaɪn]	Das ist ein kleines Zimmer.  (Komparativ) Dein Handy ist kleiner als meins.  (Superlativ) Das ist das kleinste Detail.  (mit Präposition mit) Es wirkt noch kleiner mit den Möbeln.			
einzig	only	['aɪntsɪç]	Er ist der einzige Sohn.  (mit Präposition mit) Das ist einzig mit dieser Methode möglich.			
da	there (at that general location), then / at that point / because of that	[daː]	(lokal) Ich wohne da.  (temporal) Damals war er noch klein, da wusste er das nicht.			
ganz	completely; really	gants	(gradadverbien) Das ist ganz toll!  (modaladverbien) Ich bin ganz sicher.			
haupt	main	haʊ̯pt	(gradadverbien) Das ist die Hauptstraße.  (fokusadverbien) Hauptsache, du bist glücklich.			
gerne	gladly	ˈɡɛʁnə	(modaladverbien) Ich helfe dir gerne.  (modaladverbien) Er isst gerne Pizza.			
der Familienname	surname, family name	[ˈfaˌmiːli̯ənˌnaːmə]	Familiennamen	Mein Familienname ist Schmidt.  Die Familiennamen in Deutschland sind sehr verschieden.		
die Frage	question	[ˈfʁaːɡə]	Fragen	Das ist eine wichtige Frage.  Die Fragen der Studenten wurden beantwortet.		
der Nachname	last name, surname	[ˈnaːxˌnaːmə]	Nachnamen	Sein Nachname ist Weber.  Die Nachnamen der Gäste stehen auf der Liste.		
der Name	name	[ˈnaːmə]	Namen	Der Name des Kindes ist Lena.  Alle Namen wurden aufgeschrieben.		
der Vorname	first name, given name	[ˈfoːɐ̯ˌnaːmə]	Vornamen	Ihr Vorname ist Maria.  Die Vornamen in unserer Familie sind traditionell.		
der Iran	Iran	[iˈʁaːn]		Der Iran hat eine alte Kultur.  Die Geschichte des Iran ist faszinierend.		
die Türkei	Turkey	[ˈtʏʁkaɪ̯]		Die Türkei verbindet Europa und Asien.  Die Küsten der Türkei sind wunderschön.		
die Schweiz	Switzerland	[ˈʃvaɪ̯ts]		Die Schweiz ist für ihre Neutralität bekannt.  Die Landschaft in der Schweiz ist atemberaubend.		
die USA	United States, USA	[uːʔɛsˈʔaː]		Die USA sind eine Bundesrepublik.  Die Größe der USA ist beeindruckend.		
die Niederlande	Netherlands (Pl)	[ˈniːdɐˌlandə]		Die Niederlande liegen teilweise unter dem Meeresspiegel.  Die Tulpenfelder in den Niederlanden sind berühmt.		
die Aufgabe	task, assignment	[ˈaʊ̯fˌɡaːbə]	Aufgaben	Diese Aufgabe ist nicht einfach.  Alle Aufgaben müssen erledigt werden.		
das Land	country, land, countryside, state (in a federal country)	[lant]	Länder	Das Land ist sehr fruchtbar.  Viele Länder in Afrika sind jung.  Die Bundesländer haben in Deutschland eigene Bildungspolitik.		
das Gespräch	conversation, discussion	[ɡəˈʃpʁɛːç]	Gespräche	Das Gespräch war sehr produktiv.  Die Gespräche dauerten lange.		
die Stadt	city, town	[ʃtat]	Städte	Die Stadt ist sehr lebendig.  Große Städte bieten viele Möglichkeiten.		
das Essen	food, meal	[ˈɛsn̩]		Das Essen ist sehr lecker.  Das warme Essen ist gleich fertig.		
der Sohn	son	[zoːn]	Söhne	Unser Sohn spielt Fußball.  Die Söhne besuchen ihre Großeltern.		
heißen	to be called	 [ˈhaɪ̯sən]	haben + geheißen	"Wie heißt du?  Das Restaurant heißt ""Zum goldenen Löwen"".  Er heißt mich willkommen."		
gehen	to go	 [ˈɡeːən]	sein + gegangen	Ich gehe zur Arbeit.  Wir gehen ins Kino.  Der Weg geht bergab.		
hören	to hear	 [ˈhøːʁən]	haben + gehört	Ich höre Musik.  Hörst du das auch?  Er hört auf den Rat seines Freundes.		
kennen	to know (a person / place / thing)	 [ˈkɛnən]	haben + gekannt	Ich kenne ihn schon lange.  Kennst du diesen Film?  Sie kennt sich gut mit Computern aus.		
kommen	to come	 [ˈkɔmən]	sein + gekommen	Wann kommst du nach Hause?  Sie kommt aus Berlin.  Die Idee kommt mir gerade.		
lesen	to read	 [ˈleːzən]	haben + gelesen	Ich lese ein Buch.  Er liest die Zeitung.  Lies bitte laut vor.		
schreiben	to write	 [ˈʃʁaɪ̯bən]	haben + geschrieben	Sie schreibt einen Brief.  Ich schreibe die Hausaufgaben.  Schreib mir eine E-Mail.		
sein	to be	 [zaɪ̯n]	sein + gewesen	Ich bin müde.  Wir sind Freunde.  Sei bitte pünktlich!		
wiederholen	to repeat	 [ˈviːdɐˌhoːlən]	haben + wiederholt	Kannst du das bitte wiederholen?  Sie wiederholt die Vokabeln für die Prüfung.  Der Lehrer wiederholt die wichtige Regel.		
wissen	to know (a fact / information)	 [ˈvɪsən]	haben + gewusst	Ich weiß die Antwort nicht.  Weißt du, wie spät es ist?  Sie wissen Bescheid.		
wohnen	to reside / to live (at an address)	 [ˈvoːnən]	haben + gewohnt	Ich wohne in Berlin.  Wo wohnst du?  Sie wohnen seit fünf Jahren hier.		
sprechen	to speak	 [ˈʃpʁɛçən]	haben + gesprochen	Er spricht fließend Deutsch.  Sprichst du Englisch?  Wir sprechen über das Projekt.		
klingeln	to ring	 [ˈklɪŋələn]	haben + geklingelt	Das Telefon klingelt.  Es klingelt an der Tür.  Klingele bitte, wenn du da bist.		
sagen	to say	 [ˈzaːɡən]	haben + gesagt	Was hast du gesagt?  Er sagt immer die Wahrheit.  Sag mir bitte Bescheid.		
buchstabieren	to spell	 [ˈbʊxˌʃtaːbiːʁən]	haben + buchstabiert	Kannst du deinen Namen buchstabieren?  Sie buchstabiert das Wort langsam.  Buchstabieren Sie bitte Ihren Nachnamen.		
zuordnen	to assign	 [ˈt͡suːˌʔɔʁdnən]	haben + zugeordnet	Ordnen Sie die Bilder den Begriffen zu.  Er ordnet die Aufgaben den Mitarbeitern zu.  Ordne bitte die Farben den Objekten zu.		
sortieren	to sort	 [zɔʁˈtiːʁən]	haben + sortiert	Sie sortiert die Bücher nach Autor.  Kannst du die Dokumente sortieren?  Sortieren Sie die Karten nach Farben.		
üben	to practice	 [ˈyːbən]	haben + geübt	Ich übe jeden Tag Klavier.  Übst du für die Prüfung?  Sie üben die neuen Vokabeln.		
essen	to eat	 [ˈɛsən]	haben + gegessen	Wir essen zu Abend.  Isst du gerne Obst?  Esst bitte langsam.		
trinken	to drink	 [ˈtʁɪŋkən]	haben + getrunken	Ich trinke gerne Kaffee.  Trinkst du genug Wasser?  Trinkt bitte etwas.		
weil	because (informal)	[vaɪ̯l]	Compared to da, it is neutral, very common in speech and writing.  weil can appear at the beginning or after the main clause, but if it comes after the main clause, it can sound more causal or explanatory.  While da emphasizes that the cause is known or given information, weil emphasizes the reason itself (focus on cause).	Ich bleibe zu Hause, weil ich krank bin.  Sie lernt Deutsch, weil sie nach Deutschland ziehen möchte.		
tragen	to carry / to wear (clothes or items)	 [ˈtʁaːɡən]	haben + getragen	Sie trägt ein rotes Kleid.  Was trägst du zur Party?  Trag bitte eine Jacke.		
die Tochter	daughter	[ˈtɔxtɐ]	Töchter	Meine Tochter geht zur Schule.  Die Tochter meines Nachbarn studiert Medizin.  Ich habe zwei Töchter.  Unsere Töchter spielen im Garten.		
die Haare	hair	[ˈhaːʁə]	Haare	Sie hat lange, blonde Haare.  Ihre Haare glänzen in der Sonne.  Die Farbe des Haares ist natürlich.		
die Kleidung	clothes, clothing	[ˈklaɪ̯dʊŋ]	Kleidungen	Ich kaufe neue Kleidung.  Die Kleidung liegt auf dem Stuhl.  Diese Kleidungen sind sehr modisch.		
das Auge	eye	[ˈaʊ̯ɡə]	Augen	Mein Auge tut weh.  Sie hat blaue Augen.  Das Auge des Adlers ist sehr scharf.		
meinen	to mean	 [ˈmaɪ̯nən]	haben + gemeint	Was meinst du damit?  Ich meine es ernst.  Meinen Sie diesen Herrn?		
das Foto	photo, photograph	[ˈfoːto]	Fotos	Ich mache ein Foto.  Die Fotos sind in dem Album.  Das Foto des Hauses ist sehr schön.		
ansehen	to look at	 [ˈanˌzeːən]	haben + angesehen	Sieh dir das Bild an.  Er sieht sich den Film an.  Sehen Sie sich die Dokumente an.		
die Visitenkarte	business card	[vɪsˈiːtn̩ˌkaʁtə]	Visitenkarten	Kann ich Ihre Visitenkarte haben?  Er gibt mir seine Visitenkarte.  Die Visitenkarten liegen auf dem Tisch.		
glauben	to believe	 [ˈɡlaʊ̯bən]	haben + geglaubt	Ich glaube dir.  Glaubst du an Gott?  Sie glauben an seine Unschuld.		
arbeiten	to work	 [ˈaʁbaɪ̯tən]	haben + gearbeitet	Ich arbeite im Büro.  Arbeitest du heute?  Arbeiten Sie bitte schneller.		
machen	to do; to make	 [ˈmaxən]	haben + gemacht	Was machst du?  Er macht seine Hausaufgaben.  Mach bitte die Tür zu.		
hauptsächlich	mainly, primarily, chiefly	[ˈhaʊ̯ptˌzɛçlɪç]	(Gradadverbien) Sie arbeitet hauptsächlich von zu Hause aus.  (Modaladverbien) Das Problem ist hauptsächlich technischer Natur.  Es geht hauptsächlich um die Finanzierung.  Er interessiert sich hauptsächlich für Geschichte.  Die Teilnehmer kamen hauptsächlich aus Europa.			
die Arbeit	work, job, labor, effort, paper (academic)	[ˈaʁbaɪt]	Arbeiten	Die Arbeit beginnt um 8 Uhr.  Meine Arbeiten sind fast fertig.  Ich bin bei der Arbeit.  Sie hat viel Arbeit heute.		
aufwachen	to wake up	 [ˈaʊ̯fˌvaxən]	sein + aufgewacht	Ich wache um 6 Uhr auf.  Wachst du immer so früh auf?  Wacht bitte pünktlich auf!		
gerade	just, exactly, currently, right now, straight	[ɡəˈʁaːdə]	(temporaladverbien) Ich bin gerade beim Essen.  (temporaladverbien) Er hat gerade angerufen.  (modaladverbien) Das ist gerade das Problem.  (modaladverbien) Sie traf genau den Punkt.  (gradadverbien) Gerade deshalb muss ich gehen.  (gradadverbien) Ich mag ihn gerade wegen seiner Ehrlichkeit.			
sofort	immediately, right away, instantly	[zoˈfɔʁt]	(temporaladverbien) Komm sofort hierher!  (temporaladverbien) Ich erledige das sofort.  (modaladverbien) Sie müssen sofort handeln.  (temporaladverbien) Sofort nach dem Anruf ging er los.  (temporaladverbien) Der Arzt kam sofort.			
der Beruf	profession, occupation, career, vocation	[bəˈʁuːf]	Berufe	Mein Beruf erfordert viel Geduld.  Er übt seinen Beruf mit Leidenschaft aus.  In Deutschland gibt es viele verschiedene Berufe.  Sie hat den Beruf des Lehrers gewählt.		
beruflich	professional, occupational, work-related, vocational	[bəˈʁuːflɪç]	(schwach) Ich habe berufliche Verpflichtungen.  (stark) Das ist eine berufliche Entscheidung.  (gemischt) Wegen beruflicher Veränderungen ziehe ich um.  (mit Präposition in + Dat) Sie ist beruflich in Frankfurt.  (mit Präposition als + Nom) Er arbeitet beruflich als Ingenieur.  (mit Präposition bei + Dat) Ich bin beruflich bei einer Bank.  (mit Präposition durch + Akk) Die Fortbildung erfolgt beruflich durch den Arbeitgeber.  (mit Präposition wegen + Gen) Beruflich wegen eines Projekts musste ich verreisen.			
